extracted: 108747545 molecules, 6693867 edges, 1272230 cells, 2707616 shapes, 2841494 patterns, 91328227 classes (539.5s)
pattern #3 stats: 2841494 patterns, 8932077 alt entries, 4012603 distinct (chrom,offset) hops (2.23x hop sharing), 74.6% alts share the anchor's shape
section                 raw         zstd
c637                 782183       258426
c638                 374344       120211
c639                  75663        30184
c640                 849160       253588
c641                 228539        77271
c642                  66720        25115
c643                 623862       207956
c644                2779199       938084
c645                 210374        69315
c646                 691473       226103
c647                 690730       208510
c648                  21380        11162
c649                 286616        87026
c650                 234197        71475
c651                 685898       207006
c652                  58239        18549
c653                8405853      2539595
c654                4609217      1393123
c655                5766669      1690586
c656                7784112      2014038
c657               13068358      4061363
c658                1112879       343243
c659                 110215        38350
c660                 744812       205007
c661                2814052       869644
c662                6584646      2148935
c663                6477300      1922514
c664                4005278      1183174
c665               15829730      4898243
c666                9481167      2966906
c667                3340573      1147389
c668                1529822       473601
c669                1340566       410583
c670                 325484       101654
c671                 156732        58687
c672                 660223       192207
c673                2943894       749796
c674                 313898        99772
c675                 374707       125645
c676                3994081      1114618
c677                1169874       373773
c678                 656289       195748
c679                1662940       506563
c680                2118851       624712
c681                 439308       139336
c682                1863019       481815
c683                3343100       906181
c684                 160261        49695
c685                 644253       224676
c686                2315337       498581
c687                 299297        93612
c688                 234942        70397
c689                  38281        18047
c690                1339428       377717
c691                 826600       268310
c692                1676064       512324
c693                1089965       342268
c694                1009736       327693
c695                1328397       413933
c696                  30810        13371
c697                  24133        11038
c698                1107726       357968
c699                2677947       872532
c700                 898631       289271
c701                1685286       520602
c702                1496168       395849
c703                7848501      2569160
c704                3406883      1023820
c705                 987145       305817
c706                1191772       388883
c707                 257797        91171
c708                  67474        27515
c709                 275937        96762
c710                5566748      1367428
c711                 931874       286810
c712                1183929       335952
c713                 726719       207122
c714                 182050        61513
c715                 119399        41218
c716                 230042        73032
c717                1256517       346824
c718                1380276       455485
c719                 951193       299567
c720                 706682       242496
c721                 326576       101758
c722                  67333        24869
c723                 585999       173260
c724                1060103       321635
c725                3878237      1226701
c726                1220260       357800
c727                 273125        81285
c728                 123653        43681
c729                  46836        17343
c730                  42874        18662
c731                 236179        83597
c732                2147120       529710
c733                 421078       112811
c734                 501586       143587
c735                  52288        24027
c736                4857021      1104708
c737                 733169       223706
c738                 231992        82473
c739                 308042       108345
c740                1017390       276812
c741                 438777       138410
c742                 140990        41560
c743                  65445        27920
c744                 487648       159731
c745               10256470      3402703
c746                  41573        14111
c747                3823253      1107140
c748                 186144        63656
c749                  39785        15369
c750                 696998       190008
c751                 303969       102624
c752                 134210        46076
c753                  27366        13798
c754                  18685         6931
c755               60193591     13391208
c756                   8775         3756
c757                  13144         5670
c758                  56409        20164
c759                  14025         7326
c760                  17423         7822
c761                   1507          899
c762                    580          436
c763                   2309         1439
c764                   1383          800
c765                  53252        18738
c766                 106542        37237
c767                3721433       959323
c768                   7346         3841
c769                   4475         2499
c770                    926          559
c771                     51           60
c772                     25           34
c773                     22           31
c774                    395          282
c775                     41           50
c776                    462          357
c777                    109          108
c778                  16849         7007
c779                    124          112
c780                    253          114
c781                    612          258
c782                     60           69
c783                    478          330
c784                     31           40
c785                     35           44
c786                    300          210
c787                  18874         9222
c788                   1208          815
c789                    702          536
c790                    169          141
c791                    478          290
c792                  15826         6642
c793                   4642         2589
c794                  46308        16483
c795                   1069          698
c796                     21           30
c797                   1879         1090
c798                  11055         5235
c799                  44395        18479
c800                   1450          857
c801                 108306        30791
c802                   2625         1149
c803                    501          354
c804                     63           72
c805                   1538          855
c806                   5625         2969
c807                  11434         4398
c808                  13754         7629
c809                   2289         1201
c810                     24           33
c811                   3374         1587
c812                    184          152
c813                1531574       394094
c814                  14087         5823
c815                    144          135
c816                    240          198
c817                    399          291
c818                    189          165
c819                    128          120
c820                     29           38
c821                    694          420
c822                  11832         6203
c823                   9799         4739
c824                  12830         6841
c825                   4399         2397
c826                   6315         2486
c827                     79           84
c828                   2050         1330
c829                    784          540
c830                    385          300
c831                    616          487
c832                  27733         3473
c833                    284          237
c834                     55           64
c835                    173          167
c836                     93           90
c837                     27           36
index.chunks          14660        11611
cellofclass       158192918    137238438
index.junctions      3333910      2722859
index.jpost         2591806       359936
index.cellpost     14462218      6196452
edges              26216001     23824672
TOTAL                          553865501  (40.75 bits/molecule over 108747545 molecules)
wrote runs/archive/d1.aie (553907862 bytes)
aie_ingest_wall=795.60
