extracted: 22156853 molecules, 1834103 edges, 324465 cells, 809069 shapes, 773437 patterns, 19266290 classes (92.1s)
pattern #3 stats: 773437 patterns, 2513974 alt entries, 1159098 distinct (chrom,offset) hops (2.17x hop sharing), 78.2% alts share the anchor's shape
section                 raw         zstd
c537                  61992        27649
c538                 232725        94592
c539                  70660        31797
c540                  35421        14621
c541                 286339       105306
c542                 185854        76513
c543                   3703         2241
c544                 563788       222962
c545                 279147       115102
c546                 145397        63688
c547                 401230       167977
c548                 110860        48299
c549                   5579         3316
c550                  67122        29297
c551                 915419       262698
c552                 321534       129241
c553                 215785        89803
c554                 313284       127438
c555                 303439       128117
c556                 499598       191733
c557                 903518       303941
c558                 143796        61326
c559                  51862        22979
c560                  24707        11899
c561                 551578       221194
c562                 336122       134361
c563                 469480       121873
c564                 736212       289068
c565                 881930       280094
c566                    558          376
c567                  94873        45638
c568                  91181        40967
c569                 351911       116594
c570                 387099       133339
c571                  55618        25152
c572                 664716       256223
c573                1312594       329410
c574                 304130       125144
c575                 184947        76995
c576                 418496       163627
c577                 388234       154118
c578                 794191       307309
c579                1871927       641582
c580                 460402       181697
c581                 313476       127610
c582                 442255       162454
c583                 253733       103041
c584                 374280       152843
c585                 197571        78825
c586                 107333        45543
c587                 101653        44864
c588                1683198       614686
c589                 314681       121480
c590                 320399       133925
c591                 316765       139736
c592                1386638       453073
c593                 831899       373230
c594                 288628       116187
c595                1404426       560184
c596                  15515         6960
c597                    134          137
c598                 126696        53724
c599                 176126        72404
c600                 191903        77683
c601                 262284       109287
c602                  62266        21835
c603                 312736       131269
c604                 499162       209152
c605                 302146       125302
c606                 126272        53879
c607                 170764        70697
c608                 465901       168183
c609                2108797       738496
c610                 542244       226169
c611                1172148       435891
c612                1533448       480871
c613                 100772        47851
c614                1241179       454978
c615                 100886        42776
c616                  91803        35368
c617                1755315       605194
c618                 304772       123248
c619                1404261       514327
c620                1159223       421381
c621                 805512       330390
c622                 625139       250707
c623                  22589        11100
c624                 460133       182098
c625                 429587       176178
c626                 731803       290391
c627                 116225        50719
c628                 957597       344128
c629                 581401       224955
c630                 810933       279189
c631                 399466       146992
c632                 384574       121097
c633                 287617       117571
c634                 179994        76506
c635                 206336        89717
c636                 104296        44884
c637                  20945        10676
c638                 171572        70280
c639                  64194        28753
c640                  21474        10402
c641                 173654        74896
c642                 600812       224489
c643                  69685        29790
c644                 187705        81907
c645                 170762        71204
c646                   5582         3387
c647                  53553        22975
c648                  70024        29633
c649                 195986        79608
c650                  11215         4957
c651                1827696       679326
c652                1146338       443772
c653                1431072       527898
c654                1350933       489706
c655                2502778       913847
c656                 225800        91564
c657                  30559        14051
c658                  82671        34357
c659                 636492       252605
c660                1308056       516137
c661                1331494       478766
c662                 879979       337441
c663                3015536      1039958
c664                2077058       741761
c665                 646871       257631
c666                 405346       165318
c667                 440220       157144
c668                 128531        53636
c669                  41088        20146
c670                 139243        60218
c671                 754382       222388
c672                  65268        28220
c673                  78974        36182
c674                1004129       360211
c675                 323594       134752
c676                 142602        59492
c677                 431594       173934
c678                 514732       201910
c679                  94002        40115
c680                 525166       189261
c681                 881333       311132
c682                  38699        16278
c683                 100143        41803
c684                 223536        69836
c685                  96386        40573
c686                  48550        19360
c687                   6479         4075
c688                 218792        76462
c689                 216976        91787
c690                 436511       178131
c691                 268690       112610
c692                 220426        92955
c693                 339752       136419
c694                   7640         4255
c695                   3204         2116
c696                 302262       126330
c697                 561917       231160
c698                 247829       105303
c699                 408782       169142
c700                 398343       129799
c701                1686239       622997
c702                 859568       343702
c703                 283722       117731
c704                 329264       134544
c705                  40303        19426
c706                  19741        10082
c707                  85520        38473
c708                1340501       370885
c709                 201390        85082
c710                 323098       120246
c711                 133470        53924
c712                  41346        19854
c713                  26018        11452
c714                 103409        40463
c715                 209852        85482
c716                 318390       131665
c717                 224186        91983
c718                 152232        68456
c719                  90760        37110
c720                  18255         8686
c721                 117475        49736
c722                 279080       107778
c723                 845029       307460
c724                 384701       143692
c725                  78792        32482
c726                  27877        13452
c727                  12185         5759
c728                  13962         7319
c729                  87628        39161
c730                 519452       177175
c731                 108542        40698
c732                  74363        32976
c733                  11195         6570
c734                1381274       421754
c735                 175607        71077
c736                  63083        27115
c737                  76150        35008
c738                 219075        75914
c739                 114450        49026
c740                  28735        11786
c741                  17842         9118
c742                 117382        51798
c743                1937452       679459
c744                   7644         3423
c745                 778355       276830
c746                  44276        20131
c747                   6965         3897
c748                 119309        51206
c749                  41895        19802
c750                  36427        16523
c751                   8673         5195
c752                   5596         2624
c753               16305022      3957582
c754                   1998         1193
c755                   2111         1305
c756                  10589         5028
c757                   1456          961
c758                   2225         1356
c759                    237          215
c760                    292          244
c761                    371          293
c762                    177          153
c763                  12135         5672
c764                   5957         3078
c765                 269760        86311
c766                   1895         1251
c767                    574          440
c768                    166          144
c769                     84           93
c770                     45           54
c771                   4157         2249
c772                     37           46
c773                     25           34
c774                     85           94
c775                     52           61
c776                     26           35
c777                     70           75
c778                   8479         4626
c779                    437          356
c780                    236          210
c781                     54           63
c782                     94           90
c783                   4832         2548
c784                    896          637
c785                   5717         2850
c786                    368          293
c787                    282          221
c788                   2350         1502
c789                   7583         4277
c790                    324          262
c791                  19861         7078
c792                    331          252
c793                    112          106
c794                     59           68
c795                    490          371
c796                    577          445
c797                   1143          717
c798                   3424         2203
c799                    389          301
c800                    566          368
c801                    122          110
c802                 113416        37432
c803                   2626         1492
c804                     43           52
c805                     44           53
c806                     89           94
c807                     74           83
c808                     29           38
c809                    144          139
c810                   2848         1831
c811                    926          672
c812                   2961         1886
c813                   1067          708
c814                   1232          738
c815                    308          258
c816                    203          182
c817                    138          136
c818                    199          188
c819                     34           43
c820                     53           62
c821                     28           37
index.chunks          13878        10746
index.junctions       893449       756970
index.jpost          654359        95356
index.cellpost      3035967      1462170
edges               6343958      5518553
TOTAL                          121365904  (43.82 bits/molecule over 22156853 molecules)
wrote runs/archive/d0-z19.aie (121407401 bytes)
ingest_wall=142.65
